code,name,description,color
monolith,Монолит,Единое развертываемое приложение с общей кодовой базой и единым жизненным циклом релиза.,
modular_monolith,Модульный монолит,"Монолит с явными модулями/границами (bounded contexts), допускающий независимую эволюцию частей.",
layered,Слоистая архитектура,Классическая layered-архитектура (presentation/domain/data) с зависимостями сверху вниз.,
hexagonal,Гексагональная (Ports & Adapters),"Домен в центре, интеграции через порты/адаптеры; упрощает тестирование и замену внешних систем.",
clean_architecture,Clean Architecture,Domain-centric подход с разделением слоёв по правилам зависимостей и use-cases.,
soa,SOA,Сервис-ориентированная архитектура с акцентом на повторное использование сервисов и контрактов.,
microservices,Микросервисы,"Набор автономных сервисов, развертываемых и масштабируемых независимо; требует зрелой платформы.",
event_driven,Событийно-ориентированная,"Интеграция через события (pub/sub), слабая связанность; хорошо для асинхронных процессов.",
cqrs_es,CQRS + Event Sourcing,"Разделение моделей чтения/записи и хранение состояния как событий; повышает сложность, но дает аудит/масштабирование.",
bff,BFF (Backend for Frontend),Отдельный backend-слой под конкретный UI/канал для оптимизации API и агрегации данных.,
serverless,Serverless,Функции/managed-сервисы с оплатой по потреблению; подходит для нерегулярной нагрузки.,
eda_streaming,Streaming-first,Потоковые данные и стрим-процессинг — основной способ интеграции и вычислений.,
